time,voltage,rpm,direction
3.16,0.5,0,up
3.17,0.5,0,up
3.18,0.5,0,up
3.19,0.5,0,up
3.2,0.5,0,up
3.21,0.5,0,up
3.22,0.5,0,up
3.23,0.5,0,up
3.24,0.5,0,up
3.25,0.5,0,up
3.26,0.5,0,up
3.27,0.5,0,up
3.28,0.5,0,up
3.29,0.5,0,up
3.3,0.5,0,up
3.31,0.5,0,up
3.32,0.5,0,up
3.33,0.5,0,up
3.34,0.5,0,up
3.35,0.5,0,up
3.36,0.5,0,up
3.37,0.5,0,up
3.38,0.5,0,up
3.39,0.5,0,up
3.4,0.5,0,up
3.41,0.5,0,up
3.42,0.5,0,up
3.43,0.5,0,up
3.44,0.5,0,up
3.45,0.5,0,up
3.46,0.5,0,up
3.47,0.5,0,up
3.48,0.5,0,up
3.49,0.5,0,up
3.5,0.5,0,up
3.51,0.5,0,up
3.52,0.5,0,up
3.53,0.5,0,up
3.54,0.5,0,up
3.55,0.5,0,up
3.56,0.5,0,up
3.57,0.5,0,up
3.58,0.5,0,up
3.59,0.5,0,up
3.6,0.5,0,up
3.61,0.5,0,up
3.62,0.5,0,up
3.63,0.5,0,up
3.64,0.5,0,up
3.65,0.5,0,up
3.66,0.5,0,up
3.67,0.5,0,up
3.68,0.5,0,up
3.69,0.5,0,up
3.7,0.5,0,up
3.71,0.5,0,up
3.72,0.5,0,up
3.73,0.5,0,up
3.74,0.5,0,up
3.75,0.5,0,up
3.76,0.5,0,up
3.77,0.5,0,up
3.78,0.5,0,up
3.79,0.5,0,up
3.8,0.5,0,up
3.81,0.5,0,up
3.82,0.5,0,up
3.83,0.5,0,up
3.84,0.5,0,up
3.85,0.5,0,up
3.86,0.5,0,up
3.87,0.5,0,up
3.88,0.5,0,up
3.89,0.5,0,up
3.9,0.5,0,up
3.91,0.5,0,up
3.92,0.5,0,up
3.93,0.5,0,up
3.94,0.5,0,up
3.95,0.5,0,up
3.96,0.5,0,up
3.97,0.5,0,up
3.98,0.5,0,up
3.99,0.5,0,up
4,0.5,0,up
4.01,0.5,0,up
4.02,0.5,0,up
4.03,0.5,0,up
4.04,0.5,0,up
4.05,0.5,0,up
4.06,0.5,0,up
4.07,0.5,0,up
4.08,0.5,0,up
4.09,0.5,0,up
4.1,0.5,0,up
4.11,0.5,0,up
4.12,0.5,0,up
4.13,0.5,0,up
4.14,0.5,0,up
4.15,0.5,0,up
4.16,0.5,0,up
4.17,0.5,0,up
4.18,0.5,0,up
4.19,0.5,0,up
4.2,0.5,0,up
4.21,0.5,0,up
4.22,0.5,0,up
4.23,0.5,0,up
4.24,0.5,0,up
4.25,0.5,0,up
4.26,0.5,0,up
4.27,0.5,0,up
4.28,0.5,0,up
